question,answer,educationLevel,gender,hispanicOrLatino,incomeLevel,lgbtq,livingSituation,occupation,pet,politicalAffiliation,race,religion,school,state
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,University of Utah,Louisiana
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Cat",Slightly Liberal,White,Christianity,University of Iowa,Louisiana
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Dog",Slightly Conservative,White,Not Religious,University of Utah,Texas
What social media app do you doom scroll on the most?,TikTok,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Dog",Slightly Liberal,White,Christianity,"Pennsylvania State University, University Park",Kentucky
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,"University of California, Riverside (UCR)",Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,Black or African American,Christianity,"University of California, Davis (UCD)",California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,Howard University,Virginia
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Conservative,White,Christianity,Georgetown University,Ohio
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,Black or African American,Christianity,North Carolina State University,Pennsylvania
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Christianity,Michigan State University,California
What social media app do you doom scroll on the most?,LinkedIn,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Stony Brook University,Illinois
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,Stony Brook University,Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Dog",Moderate,White,Christianity,Florida State University,New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,North Carolina State University,California
What social media app do you doom scroll on the most?,TikTok,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,University of Michigan,Florida
What social media app do you doom scroll on the most?,BeReal,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Christianity,Purdue University,Indiana
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,Black or African American,Not Religious,Illinois Institute of Technology,Ohio
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,George Washington University,New Hampshire
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Princeton University,Pennsylvania
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Not Religious,Drexel University,Texas
What social media app do you doom scroll on the most?,Facebook,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes, Dog",Moderate,White,Christianity,Oregon State University,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Christianity,University of Hawai'i at Manoa,Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Liberal,White,Not Religious,University of Virginia,Mississippi
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Lgbtqia+,Living W/ Parents,Student,No Pets,Moderate,White,Christianity,University of Colorado at Boulder,Texas
What social media app do you doom scroll on the most?,Other,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Cat",Moderate,White,Not Religious,University of Texas Dallas,South Carolina
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Other,University of South Florida,Oklahoma
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Moderate,Black or African American,Christianity,Virginia Polytechnic Institute (Virginia Tech),New Jersey
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Slightly Conservative,White,Christianity,Brandeis University,Arizona
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,Black or African American,Christianity,Michigan State University,Texas
What social media app do you doom scroll on the most?,TikTok,High School,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Liberal,Black or African American,Christianity,Temple University,Florida
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,University at Albany SUNY,South Dakota
What social media app do you doom scroll on the most?,Other,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes, Dog",Very Liberal,Alaska Native,Christianity,"University of California, Riverside (UCR)",Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Liberal,White,Christianity,Syracuse University,Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Lgbtqia+,Dorm Resident,Student,Yes. Both,Slightly Liberal,White,Christianity,University of Pennsylvania,Utah
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,Black or African American,Christianity,University of South Florida,Kansas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Liberal,White,Not Religious,Columbia University,Arizona
What social media app do you doom scroll on the most?,BeReal,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Conservative,Black or African American,Not Religious,University at Albany SUNY,Indiana
What social media app do you doom scroll on the most?,Facebook,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,Yes. Both,Slightly Liberal,Other,Not Religious,Rice University,Nevada
What social media app do you doom scroll on the most?,Facebook,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,"Rutgers - The State University of New Jersey, New Brunswick",Michigan
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Liberal,White,Judaism,Wake Forest University,Alabama
What social media app do you doom scroll on the most?,Instagram,High School,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Temple University,Missouri
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Moderate,White,Other,Wake Forest University,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Moderate,Asian,Not Religious,George Mason University,Washington
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Very Liberal,White,Christianity,Georgia Institute of Technology (Georgia Tech),Idaho
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,Black or African American,Christianity,Florida State University,Tennessee
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,Yes. Both,Very Liberal,Black or African American,Christianity,Washington University in St. Louis,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,Yes. Both,Slightly Conservative,Other,Christianity,University of Delaware,Oklahoma
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Cat",Slightly Liberal,White,Christianity,Florida State University,Michigan
What social media app do you doom scroll on the most?,TikTok,High School,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,Stony Brook University,New Mexico
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,White,Christianity,University of Chicago,Missouri
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Christianity,Tulane University,Georgia
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Slightly Liberal,White,Christianity,New Jersey Institute of Technology (NJIT),Wisconsin
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,No Pets,Slightly Conservative,White,Christianity,University of Rochester,Florida
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Homeowner,Student,No Pets,Moderate,White,Not Religious,University of Kansas,Oregon
What social media app do you doom scroll on the most?,BeReal,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Slightly Conservative,White,Christianity,Harvard University,Maryland
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Very Liberal,White,Christianity,University of Delaware,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Liberal,Other,Christianity,"Rutgers - The State University of New Jersey, Newark",California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Slightly Liberal,White,Not Religious,Rensselaer Polytechnic Institute,Wisconsin
What social media app do you doom scroll on the most?,TikTok,High School,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Slightly Conservative,White,Christianity,University of the Pacific,Michigan
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,Asian,Christianity,Michigan State University,Idaho
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,White,Not Religious,Brown University,New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,Yes. Both,Slightly Liberal,Black or African American,Christianity,University at Albany SUNY,Ohio
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Virginia Polytechnic Institute (Virginia Tech),New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Liberal,White,Christianity,University of Rochester,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Very Liberal,Asian,Not Religious,Michigan State University,Louisiana
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Very Liberal,White,Not Religious,California Institute of Technology (Caltech),Minnesota
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,University of Houston,Connecticut
What social media app do you doom scroll on the most?,Facebook,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,Other,Not Religious,Rice University,Pennsylvania
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Brown University,Oregon
What social media app do you doom scroll on the most?,Instagram,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Slightly Conservative,White,Christianity,Boston College,Oregon
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Dog",Slightly Conservative,White,Christianity,University at Buffalo SUNY,Pennsylvania
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes, Cat",Moderate,White,Christianity,George Mason University,North Dakota
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,Alaska Native,Christianity,Georgetown University,North Carolina
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes, Dog",Slightly Liberal,White,Christianity,"University of Maryland, Baltimore County",Nevada
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Moderate,White,Christianity,"University of California, Davis (UCD)",North Carolina
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Cat",Slightly Conservative,Asian,Christianity,Emory University,New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,Black or African American,Christianity,"University of Minnesota, Twin Cities",Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes,Dog",Moderate,White,Christianity,Syracuse University,Arizona
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Liberal,Black or African American,Christianity,University of Delaware,Missouri
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Homeowner,Student,"Yes,Dog",Moderate,White,Christianity,University at Buffalo SUNY,Wisconsin
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Liberal,White,Christianity,Drexel University,Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Slightly Liberal,White,Christianity,Howard University,New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Christianity,Harvard University,Missouri
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Conservative,Black or African American,Christianity,University of Kansas,Louisiana
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Not Religious,Illinois Institute of Technology,Pennsylvania
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Moderate,White,Not Religious,"University of North Carolina, Chapel Hill",Ohio
What social media app do you doom scroll on the most?,Instagram,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Slightly Conservative,White,Not Religious,University of Notre Dame,California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Moderate,Black or African American,Christianity,Princeton University,Georgia
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Cat",Moderate,Black or African American,Christianity,Case Western Reserve University,Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,Black or African American,Christianity,"University of Washington, Seattle",Ohio
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Very Conservative,Black or African American,Other,"University of California, Irvine",Illinois
What social media app do you doom scroll on the most?,TikTok,High School,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),Yes. Both,Moderate,White,Not Religious,North Carolina State University,Connecticut
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Moderate,White,Not Religious,Syracuse University,Washington
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Conservative,White,Christianity,Northeastern University,Louisiana
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Very Liberal,Black or African American,Christianity,"University of Washington, Seattle",California
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),No Pets,Slightly Conservative,Black or African American,Christianity,University of Connecticut,Ohio
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Slightly Conservative,White,Not Religious,Boston University,Ohio
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,No Pets,Slightly Conservative,Other,Christianity,University of Texas at Austin,New York
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Cat",Slightly Liberal,White,Christianity,California Institute of Technology (Caltech),Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Slightly Liberal,Black or African American,Not Religious,"University of Oklahoma, Norman",Kansas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Christianity,University of Southern California,Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$50,000 - $100,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Slightly Liberal,White,Christianity,University of Hawai'i at Manoa,New Jersey
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Christianity,University of Georgia,Virginia
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),No Pets,Moderate,White,Christianity,Illinois Institute of Technology,Georgia
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Employed (Full Time),"Yes, Dog",Moderate,White,Christianity,"Rutgers - The State University of New Jersey, Newark",Ohio
What social media app do you doom scroll on the most?,TikTok,High School,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Homeowner,Student,"Yes, Cat",Slightly Liberal,White,Christianity,Tufts University,Iowa
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Moderate,Black or African American,Not Religious,California Institute of Technology (Caltech),Alabama
What social media app do you doom scroll on the most?,TikTok,High School,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,White,Christianity,Wake Forest University,Texas
What social media app do you doom scroll on the most?,Other,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Christianity,Lehigh University,Kansas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Slightly Liberal,White,Christianity,Emory University,Montana
What social media app do you doom scroll on the most?,Other,High School,Male,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Dog",Slightly Conservative,White,Christianity,University of Notre Dame,Texas
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Moderate,Black or African American,Hinduism,Florida State University,Georgia
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes,Dog",Moderate,White,Islam,University of Chicago,Ohio
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes,Dog",Slightly Conservative,Asian,Christianity,University of Utah,Florida
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Liberal,White,Not Religious,"University of Oklahoma, Norman",Wisconsin
What social media app do you doom scroll on the most?,TikTok,High School,Female,Not Hispanic,"Less Than $25,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Very Conservative,Other,Christianity,Syracuse University,California
What social media app do you doom scroll on the most?,TikTok,High School,Female,Not Hispanic,"More Than $200,000",Lgbtqia+,Lessee,Student,No Pets,Moderate,White,Christianity,Wake Forest University,Minnesota
What social media app do you doom scroll on the most?,Facebook,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Student,"Yes, Dog",Slightly Liberal,White,Not Religious,Tulane University,Missouri
What social media app do you doom scroll on the most?,Twitter,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Living W/ Parents,Employed (Full Time),No Pets,Very Liberal,White,Christianity,Case Western Reserve University,Arizona
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Male,Not Hispanic,"$100,000 - $200,000",Lgbtqia+,Lessee,Employed (Full Time),"Yes,Dog",Slightly Conservative,White,Judaism,Lehigh University,Nebraska
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes, Dog",Slightly Conservative,White,Christianity,"Binghamton University, SUNY",Georgia
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,Yes. Both,Slightly Liberal,White,Christianity,Columbia University,Iowa
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Not Hispanic,"$100,000 - $200,000",Not Lgbtqia+,Lessee,Student,"Yes,Dog",Moderate,White,Christianity,Temple University,Oregon
What social media app do you doom scroll on the most?,TikTok,Bachelor's Degree,Female,Hispanic,"More Than $200,000",Not Lgbtqia+,Dorm Resident,Student,"Yes, Cat",Moderate,White,Christianity,San Diego State University,Arkansas
What social media app do you doom scroll on the most?,Facebook,Bachelor's Degree,Male,Not Hispanic,"More Than $200,000",Not Lgbtqia+,Lessee,Student,No Pets,Moderate,White,Christianity,University at Buffalo SUNY,Michigan
